English Term,中文,Simple English,中文小白理解,Module/Topic,Source Raw File
Data Preprocessing,数据预处理,Cleaning and transforming data before learning.,训练前清洗、转换和整理数据。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 01-unsupervised-learning.md; 04-training-data.md; 05-inference.md; 05-tokenization.md
Data Augmentation,数据增强,Creating varied training examples from existing data.,"对已有样本做合理变化,生成更多训练例子。",01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md
Data Curation,数据整理与筛选,Selecting and preparing useful data,挑选、整理适合训练的数据,04 / Training Data,01-machine-learning.md; 03-foundation-models.md; 04-training-data.md
Data Quality,数据质量,"How accurate, complete, consistent, and useful data is.",数据是否准确、完整、一致、适合使用。,01 / Machine Learning,01-machine-learning.md; 01-unsupervised-learning.md; 03-parameters.md; 04-pre-training.md; 04-preference-learning-rlhf.md; 04-training-data.md; 05-inference.md; 06-structured-outputs.md; 12-workflow-discovery.md
Data Leakage,数据泄漏,Training receives information it should not have.,不该提前看到的答案偷偷进入了训练。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-attention.md; 03-foundation-models.md; 03-large-language-models.md; 04-pre-training.md; 04-training-data.md; 08-grounding.md
Data Contamination,数据污染;测试集污染,Unintended overlap between training data and evaluation data.,"训练时提前见过测试内容,导致评估不真实。",01 / Machine Learning,04-pre-training.md
Transfer Learning,迁移学习,Reusing knowledge learned for one task in another.,把一个任务学到的能力迁移到新任务。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-vision-foundation-models.md
AI Product,AI 产品,A product built using one or more AI systems.,把 AI 能力包装给用户使用的产品。,01 / Artificial Intelligence,01-artificial-intelligence.md; 03-large-language-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 05-tokenization.md; 06-system-prompts.md; 08-vector-database.md; 09-mcp.md; 09-memory-state.md; 09-skills-plugins.md; 09-tool-calling.md; 10-api.md; 11-functional-tests.md; 11-permissions-safety.md; 12-adoption.md; 13-major-ai-providers.md; 15-agent-frameworks.md; 15-how-agents-are-built.md; 17-frontend-backend.md
Search Engine,搜索引擎,A system that retrieves existing pages or records.,帮你查找已经存在的网页或资料的系统。,01 / Artificial Intelligence,01-artificial-intelligence.md; 03-large-language-models.md; 07-generative-ai.md; 08-retrieval.md
Responsible AI,负责任人工智能,"Designing and using AI with safety, fairness, and accountability.",兼顾安全、公平、隐私和责任的 AI 实践。,01 / Artificial Intelligence,01-deep-learning.md; 03-foundation-models.md; 09-human-in-the-loop.md
Neural Network,神经网络,A model made of connected computational units that transform inputs into outputs.,由许多相连计算单元组成、能从数据学习的模型。,02 / Neural Networks,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-attention.md; 02-cnn.md; 02-diffusion-models.md; 02-layers.md; 02-neural-networks.md; 02-rnn-lstm.md; 02-transformer.md; 03-large-language-models.md; 03-multimodal-models.md; 04-pre-training.md; 04-training-data.md; 07-image-generation.md; 10-gpu-vram-unified-memory.md
Neural Network Architecture,神经网络架构,A structured design for a neural network.,神经网络内部各层和计算步骤如何组织的设计。,02 / Neural Networks,02-cnn.md; 02-diffusion-models.md; 02-layers.md; 02-rnn-lstm.md; 02-transformer.md
Layer,层,One stage of computation inside a neural network.,"神经网络里负责完成一段计算的一个""站点""。",02 / Layers,01-artificial-intelligence.md; 01-deep-learning.md; 02-attention.md; 02-cnn.md; 02-layers.md; 02-neural-networks.md; 02-transformer.md; 03-large-language-models.md; 04-pre-training.md; 10-model-serving.md; 11-guardrails.md; 13-major-ai-providers.md; 16-ai-workflow-platforms.md; 17-frontend-backend.md; 19-backend-technologies.md; 19-frontend-technologies.md
Hidden Layer,隐藏层,An internal layer between input and output.,位于输入层和输出层之间、用户通常看不到的内部层。,02 / Layers,01-deep-learning.md; 02-layers.md; 02-neural-networks.md
Computational Unit,计算单元,A basic unit that performs part of a computation.,完成一小部分计算的基本单位。,02 / Neural Networks,02-layers.md; 02-neural-networks.md
Deep Neural Network (DNN),深度神经网络,A neural network with many processing layers.,有很多处理层的神经网络。,02 / Neural Networks,01-deep-learning.md; 02-neural-networks.md; 07-image-generation.md
Feed-Forward Network,前馈网络,A network that further transforms each representation,进一步变换每个表示的网络模块,02 / Transformer,02-attention.md; 02-layers.md; 03-large-language-models.md
Attention,注意力机制,A mechanism that gives more computation to the parts of an input that matter most.,让模型在处理一句话或一张图时重点看更有用的部分。,02 / Attention,01-deep-learning.md; 02-attention.md; 02-diffusion-models.md; 02-layers.md; 02-rnn-lstm.md; 02-transformer.md; 03-large-language-models.md; 03-multimodal-models.md; 04-pre-training.md; 05-kv-cache.md; 07-image-generation.md
Self-Attention,自注意力,Attention in which elements of a sequence compare with other elements in the same sequence.,一句话中的每个词都可以参考同一句话里的其他词。,02 / Attention,02-attention.md; 03-large-language-models.md; 04-pre-training.md; 05-kv-cache.md
Multi-Head Attention,多头注意力,Several attention operations that can focus on different relationships in parallel.,同时用几组注意力去看不同类型的关系。,02 / Attention,02-attention.md
Cross-Attention,交叉注意力,Attention that connects one sequence or modality to another.,让一类输入去关注另一类输入中的相关信息。,02 / Attention,02-attention.md; 03-multimodal-models.md
Scaled Dot-Product Attention,缩放点积注意力,Attention based on scaled query-key dot products,先缩放 query-key 点积再计算注意力,02 / Attention,02-attention.md
Attention Head,注意力头,One parallel attention subspace or computation,多头注意力中的一个关系视角,02 / Attention,02-attention.md
Attention Mask,注意力掩码,A mask controlling which positions can interact,控制哪些位置可以互相关注的标记,02 / Attention,02-attention.md
Attention Weight,注意力权重,A weight assigned to a relationship or input part,表示模型重点参考哪部分信息的数值,02 / Attention,02-attention.md; 02-transformer.md
Transformer,Transformer 架构,A neural-network architecture built around attention and stacked processing blocks.,以注意力为核心、把多个处理模块堆叠起来的网络架构。,02 / Transformer,01-deep-learning.md; 02-attention.md; 02-cnn.md; 02-diffusion-models.md; 02-layers.md; 02-neural-networks.md; 02-rnn-lstm.md; 02-transformer.md; 03-large-language-models.md; 03-multimodal-models.md; 03-vision-foundation-models.md; 04-pre-training.md; 05-kv-cache.md; 05-token.md; 07-image-generation.md
Transformer Architecture,Transformer 架构,The Transformer design used to build models,用来构建模型的 Transformer 设计,02 / Transformer,02-attention.md; 02-layers.md; 02-neural-networks.md; 02-rnn-lstm.md; 02-transformer.md
Transformer Block,Transformer 模块,A complete repeated unit containing attention and feed-forward processing.,通常包含注意力和前馈处理的一组网络结构。,02 / Transformer,03-large-language-models.md
Transformer Layer,Transformer 层,One repeated processing block in a Transformer,Transformer 中重复堆叠的一个处理模块,02 / Transformer,02-attention.md; 03-large-language-models.md; 05-kv-cache.md
Encoder,编码器,A component that converts input into an internal representation.,把输入转换成内部表征的模型部分。,02 / Transformer,01-deep-learning.md; 03-multimodal-models.md; 07-audio-generation.md; 07-image-generation.md
Decoder,解码器,A component that turns an internal representation into an output.,把内部表征转换成输出的模型部分。,02 / Transformer,01-deep-learning.md; 03-multimodal-models.md; 05-sampling-temperature.md; 07-audio-generation.md; 07-image-generation.md
Encoder-Only Model,仅编码器模型,A model focused on representing or understanding input.,主要把输入编码成表示、用于理解任务的模型。,02 / Transformer,03-large-language-models.md
Decoder-Only Model,仅解码器模型,A model that generates tokens from preceding context.,"根据前文逐步生成 token 的模型,现代 GPT 类模型常用。",02 / Transformer,03-large-language-models.md
Encoder-Decoder Model,编码器-解码器模型,A model that encodes input and then generates output.,先理解输入、再生成输出的模型结构。,02 / Transformer,03-large-language-models.md
Residual Connection,残差连接,A shortcut that adds an earlier representation to a later one,把早期表示直接加回后续层的捷径,02 / Transformer,02-attention.md; 02-layers.md; 03-large-language-models.md
Layer Normalization,层归一化,Normalize activations within a layer,对一层中的激活值进行归一化,02 / Transformer,02-attention.md; 02-layers.md; 03-large-language-models.md
Positional Encoding,位置编码,Information indicating where a token occurs,告诉模型 token 在序列中位置的信息,02 / Transformer,02-attention.md; 03-large-language-models.md; 04-pre-training.md
Convolution,卷积,A local operation that combines nearby input values.,对相邻像素或信号做组合计算以发现局部模式。,02 / CNN,01-deep-learning.md
Convolutional Neural Network (CNN),卷积神经网络（CNN）,A neural network that is effective at learning local spatial patterns such as image features.,擅长从图像局部区域学习边缘、纹理等模式的网络。,02 / CNN,01-deep-learning.md; 02-cnn.md; 02-layers.md; 02-neural-networks.md; 03-vision-foundation-models.md; 07-image-generation.md
Convolution Kernel,卷积滤波器,A filter used in the convolution step.,在卷积计算中扫描局部区域的滤波器。,02 / CNN,01-deep-learning.md; 02-cnn.md
Pooling,池化,A way to summarize nearby values and reduce spatial size.,汇总相邻区域信息、减少表示大小的操作。,02 / CNN,01-deep-learning.md; 02-layers.md
Image Classification,图像分类,"Identify whether an image contains a cat, vehicle, or another category.",判断图片是猫、车辆还是其他类别。,02 / CNN,02-cnn.md; 02-neural-networks.md; 03-multimodal-models.md; 03-vision-foundation-models.md; 05-inference.md
Edge Detection,边缘检测,Detecting boundaries in visual input.,找出图片中轮廓边界的处理。,02 / CNN,02-layers.md
Recurrent Neural Network (RNN),循环神经网络（RNN）,A neural network that processes sequences while carrying information from earlier steps.,处理序列时把前面步骤的信息带到后面的网络。,02 / RNN / LSTM,01-deep-learning.md; 02-cnn.md; 02-layers.md; 02-neural-networks.md; 02-rnn-lstm.md
Long Short-Term Memory (LSTM),长短期记忆网络（LSTM）,A recurrent architecture designed to keep useful information over longer sequences.,一种更擅长在较长序列中保留重要信息的循环网络。,02 / RNN / LSTM,01-deep-learning.md; 02-rnn-lstm.md
Hidden State,隐藏状态,Internal information carried from earlier steps into later steps.,网络内部保存的、不会直接展示给用户的上下文记忆。,02 / RNN / LSTM,02-rnn-lstm.md; 03-large-language-models.md; 05-kv-cache.md
Sequence Model,序列模型,A model designed to use order and context in data.,会利用数据顺序和前后关系的模型。,02 / RNN / LSTM,02-rnn-lstm.md
Diffusion Model,扩散模型,A generative model that learns to reverse a gradual noising process.,学习把逐步加噪的数据还原成图像、声音等内容的生成模型。,02 / Diffusion Models,01-deep-learning.md; 02-diffusion-models.md; 07-image-generation.md
Denoising,去噪,Turning noisy data into more organized data.,把模糊、嘈杂的数据逐步变清楚。,02 / Diffusion Models,02-diffusion-models.md; 07-image-generation.md
Generative Adversarial Network (GAN),生成对抗网络缩写,Short for Generative Adversarial Network.,Generative Adversarial Network 的英文缩写。,02 / Diffusion Models,01-deep-learning.md; 02-diffusion-models.md; 07-image-generation.md
Autoencoder,自编码器,A model that learns to encode and reconstruct data.,先压缩表达、再还原数据以学习表征的模型。,02 / Diffusion Models,01-deep-learning.md; 01-unsupervised-learning.md; 07-image-generation.md
Variational Autoencoder (VAE),变分自编码器缩写,Short for Variational Autoencoder.,Variational Autoencoder 的英文缩写。,02 / Diffusion Models,02-diffusion-models.md; 07-image-generation.md
Vision Transformer (ViT),视觉 Transformer,A Transformer that processes image patches,用 Transformer 处理图像块的架构,02 / Diffusion Models,02-attention.md; 03-vision-foundation-models.md
Representation,表示;表征,An internal form used to represent useful information.,模型内部用来表达信息的形式。,02 / Neural Networks,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 02-attention.md; 02-cnn.md; 02-layers.md; 02-neural-networks.md; 02-transformer.md; 03-multimodal-models.md; 03-scientific-models.md; 03-speech-audio-models.md; 04-pre-training.md; 04-training-data.md; 05-inference.md; 05-tokenization.md; 07-audio-generation.md; 07-generative-ai.md; 07-image-generation.md; 07-multimodal-ai.md; 07-video-generation.md; 08-embeddings.md; 08-semantic-search.md; 08-vector-database.md; 08-vector-search.md; 10-gpu-vram-unified-memory.md
Feature Representation,特征表示,A representation of useful properties in model-ready form.,把有用特征整理成模型可处理的形式。,02 / Neural Networks,01-deep-learning.md; 07-image-generation.md; 08-vector-search.md
Feature Vector,特征向量,A numeric representation of multiple features.,把多个特征排成一组数字给模型使用。,02 / Neural Networks,01-machine-learning.md; 01-supervised-learning.md
Foundation Model,基础模型,A broadly trained model that can be adapted to many downstream tasks.,先用大量通用数据训练，再拿去适配不同任务的模型。,03 / Foundation Models,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-scientific-models.md; 03-speech-audio-models.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 07-code-generation.md; 07-multimodal-ai.md; 13-model-types-families.md
Large Language Model (LLM),大语言模型（LLM）,A language model trained at large scale to understand and generate text.,用大量文字训练、能理解和生成语言的模型。,03 / Large Language Models,02-attention.md; 02-transformer.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-scientific-models.md; 03-speech-audio-models.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-pre-training.md; 05-token.md; 05-tokenization.md; 06-structured-outputs.md; 06-system-prompts.md; 07-generative-ai.md; 07-text-generation.md; 08-grounding.md; 09-ai-agent.md; 09-multi-agent-systems.md; 09-planning.md; 10-ollama.md; 10-vllm.md; 13-model-types-families.md; 16-ai-workflow-platforms.md
Small Language Model (SLM),小型语言模型,A language model with fewer parameters or lower resource needs.,规模较小、运行资源需求较低的语言模型。,03 / Large Language Models,03-large-language-models.md
Language Model,语言模型,A model that estimates likely sequences of language.,根据上下文判断哪些词或 token 更可能出现的模型。,03 / Large Language Models,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 02-attention.md; 02-rnn-lstm.md; 02-transformer.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-parameters.md; 04-fine-tuning.md; 04-pre-training.md; 05-inference.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 05-token.md; 05-tokenization.md; 06-system-prompts.md; 07-text-generation.md; 08-grounding.md; 08-rag.md; 08-reranking.md; 10-ollama.md; 10-vllm.md; 11-hallucination.md; 13-model-types-families.md
Multimodal Model,多模态模型,"A model that works with more than one type of input or output, such as text, images, audio, or video.",能同时处理文字、图片、声音或视频等不同信息类型的模型。,03 / Multimodal Models,01-deep-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-scientific-models.md; 03-vision-foundation-models.md; 07-image-generation.md; 07-multimodal-ai.md; 13-model-types-families.md
Vision-Language Model (VLM),视觉语言模型,A model combining visual and language understanding.,同时理解图片和语言的模型。,03 / Multimodal Models,01-deep-learning.md; 03-multimodal-models.md
Vision Foundation Model,视觉基础模型,A broadly trained model that learns reusable visual representations from large amounts of image or visual data.,先用大量图像或视觉数据训练，再适配多个视觉任务的模型。,03 / Vision Foundation Models,03-vision-foundation-models.md
Speech Model,语音模型,A model for tasks involving speech.,处理语音任务的模型。,03 / Speech Audio Models,03-speech-audio-models.md; 03-vision-foundation-models.md; 05-inference.md; 07-multimodal-ai.md; 13-model-types-families.md
Audio-Language Model,音频语言模型,A model that connects audio and language.,同时处理声音和文字的模型。,03 / Speech Audio Models,01-deep-learning.md
Automatic Speech Recognition (ASR),语音识别,Turning spoken audio into text.,把人说的话听出来并写成文字。,03 / Speech Audio Models,01-deep-learning.md; 03-multimodal-models.md; 03-speech-audio-models.md; 05-inference.md; 07-audio-generation.md
